priority	principle
1	Observe before explaining.
2	Retrieve before generating.
3	Exact situation match outranks generic similarity.
4	Direct local observation outranks remote speculation about local state.
5	Primary evidence outranks commentary about primary evidence.
6	Firsthand experience matters when the question is experiential.
7	Official status matters when the institution itself is the subject.
8	Search engines discover evidence but are not evidence themselves.
9	Generated text is not observation.
10	Brand prestige contributes zero automatic truth.
11	Conflicting evidence remains visible.
12	Unknown remains unknown.
13	Old evidence remains valid for historical facts when provenance is intact.
14	Recency matters only when the underlying fact can change.
15	Reproduction strengthens operational claims.
16	Identity must resolve below the product-name level.
17	Same model family does not imply same model instance.
18	Read permission does not imply transmit permission.
19	Belief does not imply authorization to act.
20	Every consequential resolution must retain provenance.
21	Repetition from one origin is one evidentiary lineage, not independent corroboration.
22	Missing context decreases transfer confidence and is never treated as a match.
23	Authentication establishes identity, not universal authority.
24	Reachability establishes connectivity, not operation success.
25	Resource scarcity may deny execution without changing evidentiary conclusions.
